               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039236,             0.02107,            0.010829,             0.38601,             0.26572,             0.25766,             0.10252,            0.055083,            0.020107,            0.021685,             0.00043,             0.00043,             0.09613
                   1,            0.036921,            0.021047,            0.010297,             0.41534,             0.26812,             0.26737,             0.10332,            0.054543,            0.020216,            0.020946,          0.00086998,          0.00086998,             0.09217
                   2,            0.036215,            0.021474,            0.010517,             0.44573,             0.26279,             0.26936,             0.10018,            0.055188,            0.019957,            0.020621,           0.0013099,           0.0013099,             0.08821
                   3,            0.035411,            0.019963,           0.0095319,             0.35769,              0.2954,             0.27308,             0.10575,            0.054655,             0.02008,            0.019875,           0.0017496,           0.0017496,             0.08425
                   4,            0.035622,            0.020884,           0.0087554,             0.42768,             0.27105,             0.27598,             0.10479,            0.054848,            0.020149,            0.019794,           0.0021891,           0.0021891,            0.080289
                   5,            0.036313,            0.020899,           0.0081204,             0.40088,             0.27245,              0.2771,             0.11106,            0.054213,            0.020361,            0.019966,           0.0026284,           0.0026284,            0.076328
                   6,            0.036046,            0.021303,           0.0072502,             0.45271,             0.27513,             0.28134,             0.11255,            0.053808,            0.020482,            0.020014,           0.0030673,           0.0030673,            0.072367
                   7,            0.036204,             0.01971,           0.0070205,             0.39861,             0.29792,             0.27816,             0.11297,            0.053196,            0.020927,            0.019994,           0.0035058,           0.0035058,            0.068406
                   8,            0.036772,            0.018895,           0.0085281,             0.33284,             0.30757,             0.27244,             0.11073,            0.054204,            0.020431,            0.020237,           0.0039438,           0.0039438,            0.064444
                   9,            0.035482,            0.019804,           0.0068188,             0.41767,             0.26561,             0.28064,             0.10893,            0.054666,            0.020622,            0.018921,           0.0043812,           0.0043812,            0.060481
                  10,            0.036106,            0.019588,           0.0064944,             0.36946,             0.29837,             0.25384,            0.097349,            0.055738,             0.02112,            0.019464,           0.0048181,           0.0048181,            0.056518
                  11,            0.038312,            0.019389,             0.00733,             0.45922,             0.27699,             0.27454,             0.10991,            0.055894,            0.020787,             0.01996,           0.0052543,           0.0052543,            0.052554
                  12,            0.038163,            0.019636,           0.0069288,             0.44885,             0.29063,             0.27795,             0.10615,            0.056454,            0.020706,            0.019243,           0.0056897,           0.0056897,             0.04859
                  13,            0.037366,            0.019034,           0.0069771,             0.30895,             0.29974,             0.26855,             0.10494,            0.054901,            0.020246,            0.018118,           0.0061244,           0.0061244,            0.044624
                  14,            0.038224,            0.019872,           0.0066925,             0.34341,             0.27071,             0.26428,             0.10246,            0.055185,            0.020368,             0.02015,           0.0065582,           0.0065582,            0.040658
                  15,              0.0369,            0.018776,           0.0074892,             0.34733,              0.2809,             0.25303,            0.097093,            0.056429,            0.020666,            0.019771,           0.0069911,           0.0069911,            0.036691
